id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2012-51,25
frozen-yogurt,/m/020b3f,2012-52,32
frozen-yogurt,/m/020b3f,2013-01,45
frozen-yogurt,/m/020b3f,2013-02,48
frozen-yogurt,/m/020b3f,2013-03,52
frozen-yogurt,/m/020b3f,2013-04,48
frozen-yogurt,/m/020b3f,2013-05,42
frozen-yogurt,/m/020b3f,2013-06,44
frozen-yogurt,/m/020b3f,2013-07,48
frozen-yogurt,/m/020b3f,2013-08,50
frozen-yogurt,/m/020b3f,2013-09,56
frozen-yogurt,/m/020b3f,2013-10,59
frozen-yogurt,/m/020b3f,2013-11,60
frozen-yogurt,/m/020b3f,2013-12,59
frozen-yogurt,/m/020b3f,2013-13,57
frozen-yogurt,/m/020b3f,2013-14,66
frozen-yogurt,/m/020b3f,2013-15,72
frozen-yogurt,/m/020b3f,2013-16,69
frozen-yogurt,/m/020b3f,2013-17,69
frozen-yogurt,/m/020b3f,2013-18,67
frozen-yogurt,/m/020b3f,2013-19,78
frozen-yogurt,/m/020b3f,2013-20,73
frozen-yogurt,/m/020b3f,2013-21,89
frozen-yogurt,/m/020b3f,2013-22,88
frozen-yogurt,/m/020b3f,2013-23,89
frozen-yogurt,/m/020b3f,2013-24,95
frozen-yogurt,/m/020b3f,2013-25,97
frozen-yogurt,/m/020b3f,2013-26,100
frozen-yogurt,/m/020b3f,2013-27,89
frozen-yogurt,/m/020b3f,2013-28,91
frozen-yogurt,/m/020b3f,2013-29,88
frozen-yogurt,/m/020b3f,2013-30,83
frozen-yogurt,/m/020b3f,2013-31,76
frozen-yogurt,/m/020b3f,2013-32,71
frozen-yogurt,/m/020b3f,2013-33,63
frozen-yogurt,/m/020b3f,2013-34,58
frozen-yogurt,/m/020b3f,2013-35,62
frozen-yogurt,/m/020b3f,2013-36,50
frozen-yogurt,/m/020b3f,2013-37,45
frozen-yogurt,/m/020b3f,2013-38,44
frozen-yogurt,/m/020b3f,2013-39,44
frozen-yogurt,/m/020b3f,2013-40,38
frozen-yogurt,/m/020b3f,2013-41,39
frozen-yogurt,/m/020b3f,2013-42,34
frozen-yogurt,/m/020b3f,2013-43,31
frozen-yogurt,/m/020b3f,2013-44,28
frozen-yogurt,/m/020b3f,2013-45,29
frozen-yogurt,/m/020b3f,2013-46,30
frozen-yogurt,/m/020b3f,2013-47,23
frozen-yogurt,/m/020b3f,2013-48,20
frozen-yogurt,/m/020b3f,2013-49,22
frozen-yogurt,/m/020b3f,2013-50,23
frozen-yogurt,/m/020b3f,2013-51,25
frozen-yogurt,/m/020b3f,2013-52,36
frozen-yogurt,/m/020b3f,2014-01,36
frozen-yogurt,/m/020b3f,2014-02,40
frozen-yogurt,/m/020b3f,2014-03,45
frozen-yogurt,/m/020b3f,2014-04,36
frozen-yogurt,/m/020b3f,2014-05,39
frozen-yogurt,/m/020b3f,2014-06,35
frozen-yogurt,/m/020b3f,2014-07,40
frozen-yogurt,/m/020b3f,2014-08,42
frozen-yogurt,/m/020b3f,2014-09,42
frozen-yogurt,/m/020b3f,2014-10,57
frozen-yogurt,/m/020b3f,2014-11,51
frozen-yogurt,/m/020b3f,2014-12,52
frozen-yogurt,/m/020b3f,2014-13,51
frozen-yogurt,/m/020b3f,2014-14,56
frozen-yogurt,/m/020b3f,2014-15,55
frozen-yogurt,/m/020b3f,2014-16,57
frozen-yogurt,/m/020b3f,2014-17,55
frozen-yogurt,/m/020b3f,2014-18,60
frozen-yogurt,/m/020b3f,2014-19,61
frozen-yogurt,/m/020b3f,2014-20,68
frozen-yogurt,/m/020b3f,2014-21,70
frozen-yogurt,/m/020b3f,2014-22,69
frozen-yogurt,/m/020b3f,2014-23,72
frozen-yogurt,/m/020b3f,2014-24,76
frozen-yogurt,/m/020b3f,2014-25,71
frozen-yogurt,/m/020b3f,2014-26,85
frozen-yogurt,/m/020b3f,2014-27,77
frozen-yogurt,/m/020b3f,2014-28,70
frozen-yogurt,/m/020b3f,2014-29,70
frozen-yogurt,/m/020b3f,2014-30,69
frozen-yogurt,/m/020b3f,2014-31,72
frozen-yogurt,/m/020b3f,2014-32,59
frozen-yogurt,/m/020b3f,2014-33,51
frozen-yogurt,/m/020b3f,2014-34,51
frozen-yogurt,/m/020b3f,2014-35,45
frozen-yogurt,/m/020b3f,2014-36,42
frozen-yogurt,/m/020b3f,2014-37,41
frozen-yogurt,/m/020b3f,2014-38,34
frozen-yogurt,/m/020b3f,2014-39,35
frozen-yogurt,/m/020b3f,2014-40,33
frozen-yogurt,/m/020b3f,2014-41,32
frozen-yogurt,/m/020b3f,2014-42,29
frozen-yogurt,/m/020b3f,2014-43,26
frozen-yogurt,/m/020b3f,2014-44,26
frozen-yogurt,/m/020b3f,2014-45,28
frozen-yogurt,/m/020b3f,2014-46,26
frozen-yogurt,/m/020b3f,2014-47,20
frozen-yogurt,/m/020b3f,2014-48,20
frozen-yogurt,/m/020b3f,2014-49,21
frozen-yogurt,/m/020b3f,2014-50,22
frozen-yogurt,/m/020b3f,2014-51,24
frozen-yogurt,/m/020b3f,2014-52,28
frozen-yogurt,/m/020b3f,2015-01,31
frozen-yogurt,/m/020b3f,2015-02,31
frozen-yogurt,/m/020b3f,2015-03,39
frozen-yogurt,/m/020b3f,2015-04,35
frozen-yogurt,/m/020b3f,2015-05,33
frozen-yogurt,/m/020b3f,2015-06,33
frozen-yogurt,/m/020b3f,2015-07,31
